id,naslov,dolzina,leto,leto_original,score,glasovi,avgrating,ratings,reviews
13513038,The Fellowship of the Ring,398,2003,1954,314186,3547,4.36,2154456,19556
13613374,The Mark of Athena,586,2012,,31596,390,4.45,406267,15200
15708993,The Silmarillion,386,2004,1977,60852,735,3.92,195609,7116
15709778,The Secret Magdalene,448,2007,2005,62946,646,4.07,4070,437
15749201,The Amazing Adventures of Kavalier &amp; Clay,639,2001,2000,29407,359,4.17,175522,10435
15749887,Beautiful Disaster,319,2011,,46294,521,4.12,507509,27155
15753977,Legend,305,2011,,32080,367,4.18,379300,27021
15795357,Eleanor &amp; Park,328,2013,2012,31813,370,4.08,764181,62401
15802147,The Complete Calvin and Hobbes,1456,2005,,49124,614,4.82,33227,957
15803417,The Wonderful Wizard of Oz,154,1995,1900,93243,1213,3.98,332833,11264
15806216,A Portrait of the Artist as a Young Man,329,2003,1916,32898,432,3.61,119707,4752
15823480,Anna Karenina,838,2004,1877,212260,2312,4.04,603810,21580
15833451,The Scarlet Pimpernel,182,2005,1905,23150,297,4.07,115978,5914
15844362,The One,323,2014,,18597,220,4.2,315650,25477
15845322,The Picture of Dorian Gray,272,2004,1890,806701,8527,4.07,848277,25800
15845364,Uncle Tom's Cabin,438,1999,1852,44148,618,3.86,181824,7051
15848107,The Strange Case of Dr. Jekyll and Mr. Hyde,144,2003,1886,21960,334,3.81,334655,11130
16034235,Throne of Glass,406,2012,2012,51493,574,4.22,498960,38910
16058947,Mansfield Park,507,2003,1814,29514,417,3.85,264087,8686
16064673,The Call of the Wild,172,2001,1903,78219,1019,3.86,298660,8965
16095003,The Cider House Rules,973,2000,1985,41593,560,4.12,152111,3644
16173514,The Good Earth,418,2009,1931,87589,1064,3.98,213385,9313
16692883,Tess of the D'Urbervilles,518,2003,1891,86195,1053,3.79,222394,7982
17156082,Hopeless,410,2012,2012,23542,263,4.31,243774,20460
17157434,Howl's Moving Castle,329,2001,1986,45434,542,4.3,180808,12390
17204679,Man's Search for Meaning,165,2006,1946,52802,619,4.36,306519,16526
17264061,The Once and Future King,639,1987,1958,45490,562,4.08,90820,3659
17280346,Beautiful Creatures,563,2009,,30946,382,3.76,510016,21700
17286849,Fangirl,483,2013,,36956,423,4.08,504864,47427
17306020,The Jungle,335,2003,1906,19580,270,3.74,123271,5444
17315727,The 5th Wave,457,2013,,17407,208,4.06,356129,29115
17339177,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,242,1984,1971,56263,672,4.42,231874,9435
17347634,Me Before You,369,2012,,28202,328,4.26,985983,79251
17401120,The Time Machine,118,2002,1895,40232,566,3.89,371099,9646
17453983,Anna and the French Kiss,372,2010,,23591,272,4.02,341793,28492
17470674,Fahrenheit 451,175,2004,1953,536535,5811,3.98,1475732,42281
17701166,The House of Hades,597,2013,,19928,250,4.55,227893,13608
17728412,The Phantom of the Opera,360,1987,1910,53083,686,3.97,184473,5830
17792189,Walden,352,2004,1854,39545,529,3.79,141645,4637
18008756,White Fang,252,2001,1905,31299,450,3.97,136357,4090
18073799,The Wind in the Willows,197,2005,1908,55953,748,3.99,165014,5314
18144590,The Alchemist,197,1993,1988,732634,7667,3.86,1828872,70946
18172068,Bleak House,1017,2006,1853,17723,244,4.01,89547,3819
18401393,The Martian,369,2014,2012,23376,274,4.4,717335,69576
18619999,The Help,451,2009,,687818,7373,4.46,1929999,82445
18626824,Fifty Shades of Grey,356,2011,,74092,835,3.67,1715161,77377
18626828,A Dance with Dragons,1125,2011,,20078,264,4.32,512568,21625
18626829,A Feast for Crows,1061,2011,2005,23225,304,4.13,573680,20725
18626857,The Adventures of Sherlock Holmes,339,1998,1892,361512,4058,4.31,220728,6086
18626858,The Hunger Games,374,2008,,2884374,29404,4.33,5846150,164176
18629142,City of Heavenly Fire,725,2014,,23586,294,4.46,255744,22039
18686935,Green Eggs and Ham,62,1988,1960,487574,5366,4.3,552765,8737
18846563,Crown of Midnight,418,2013,2013,18232,217,4.45,277713,25508
18882869,All Quiet on the Western Front,296,1987,1929,107842,1264,3.96,330620,9217
19010711,Blood River: A Journey to Africa's Broken Heart,363,2008,2007,35771,361,4.05,7018,615
19438058,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,540,2006,1974,27676,351,3.77,180516,7904
20494944,Lonesome Dove,945,1999,1985,117022,1312,4.49,135543,6701
20562717,The Name of the Wind,662,2007,2007,139258,1477,4.54,627591,37764
20603758,Ready Player One,374,2011,,29163,326,4.27,754766,82225
21160173,The Compleat Works of Wllm Shkspr (abridged),137,1994,,106655,1224,4.44,8338,128
21523063,"I, Claudius",468,1989,1934,19166,254,4.27,49519,2314
22024583,To Kill a Mockingbird,324,2006,1960,2157865,22194,4.27,4058434,84351
22027266,The BFG,199,2001,1982,25789,350,4.23,324163,9427
22044026,Brave New World,288,1998,1932,608478,6540,3.98,1299939,26375
22084431,Obsidian,335,2012,2011,27742,312,4.2,206553,16914
22294935,Six of Crows,465,2015,,17799,197,4.46,221142,31486
22818666,The Iron King,363,2010,,17884,215,3.91,178658,11363
24731740,Fifty Shades Darker,532,2011,2011,35637,420,3.85,688149,28737
24916066,Charlotte's Web,184,2001,1952,659803,7131,4.16,1289537,16279
25716554,The Master and Margarita,335,1996,1967,144212,1572,4.3,209342,9801
26028666,The Firm,76,2000,1991,28554,419,4.01,530723,3379
26073150,A Court of Mist and Fury,626,2016,,25563,277,4.67,247182,33540
28137887,Harry Potter and the Goblet of Fire,734,2002,2000,157925,1814,4.55,2276004,40264
28139880,Harry Potter and the Half-Blood Prince,652,2006,2005,144180,1679,4.56,2166890,34673
28141183,Harry Potter and the Chamber of Secrets,341,1999,1998,112328,1350,4.41,2388859,45633
28143118,Harry Potter and the Deathly Hallows,759,2007,,291421,3187,4.61,2513082,60018
28143415,Harry Potter and the Prisoner of Azkaban,435,2004,1999,194646,2191,4.56,2432196,48023
28253070,The Gunslinger,231,2003,1982,32576,401,3.96,471698,17445
28787664,Harry Potter Series Box Set,4100,2007,,23860,288,4.74,233660,7053
29411529,Harry Potter and the Order of the Phoenix,870,2004,2003,2535490,25939,4.49,2221446,36886
29844228,Thirteen Reasons Why,288,2007,,68749,787,3.95,709534,50322
30165203,American Gods,635,2005,2001,112123,1270,4.11,688078,35837
30236962,The Historian,704,2005,,43522,528,3.78,230796,15486
30236985,The Red Tent,336,2005,1997,180197,2013,4.17,489865,18524
31685789,Room,321,2010,2010,25161,310,4.05,656342,45791
32800812,The Exorcist,385,1994,1971,18121,265,4.16,163556,4314
33574273,A Wrinkle in Time,211,1973,1962,546657,5841,4.0,973546,32210
33648131,The Notebook,214,2004,1996,220546,2488,4.09,1207834,18991
34068470,The Odyssey,541,2006,-700,475084,5226,3.75,801717,10748
35031085,Frankenstein,335,2003,1818,411045,4619,3.79,1053223,28276
35120530,I Know This Much Is True,897,1999,1998,46159,551,4.18,278671,8402
35341859,The Prince of Tides,679,2002,1986,37067,489,4.24,184220,4005
35485895,Sophie's Choice,562,1992,1979,38377,521,4.19,78532,2359
35545737,A Walk to Remember,240,2004,1999,102225,1192,4.17,617209,12411
36145593,Fried Green Tomatoes at the Whistle Stop Cafe,416,2002,1987,36011,504,4.27,251740,5795
36236124,Fight Club,218,2005,1996,121035,1394,4.19,456739,13245
36381037,Cinder,390,2012,,45794,530,4.15,603764,50046
36402034,Do Androids Dream of Electric Sheep?,244,1996,1968,31567,409,4.08,305247,11666
36576608,Flowers for Algernon,311,2005,1966,134048,1560,4.12,432451,15727
36687263,Extremely Loud and Incredibly Close,326,2006,2005,66347,760,3.98,361866,22568
38819529,The Hobbit or There and Back Again,366,2002,1937,92270,1104,4.27,2591800,43512
39280444,Speak,202,2001,1999,45782,563,4.02,458592,22103
39776179,Dune,604,2006,1965,279175,3013,4.22,642273,17659
39832183,The Guernsey Literary and Potato Peel Pie Society,290,2008,2008,48594,596,4.16,549698,50596
39945240,The Prophet,127,2010,1923,84078,1011,4.23,210187,8242
40495148,Blindness,326,1999,1995,49612,574,4.11,171546,14037
40605251,The Mists of Avalon,884,1984,1982,83521,989,4.12,180475,6322
40873273,Snow Flower and the Secret Fan,269,2006,2005,24119,307,4.07,325638,17127
40874325,The Shack,252,2007,2007,50604,601,3.76,497354,32121
40938263,زندگی مه آلود پریا,204,2015,,39342,396,3.92,922,132
40940121,Bridge to Terabithia,128,1996,1977,77344,978,3.99,403348,11397
40961427,1984,328,1950,1949,243993,2686,4.17,2710539,60491
41044096,Island of the Blue Dolphins,184,1971,1960,48760,630,3.83,270794,7772
41637836,The Subtle Knife,326,1997,,24679,332,4.13,322932,8052
41817486,A Clockwork Orange,213,1986,1962,292526,3296,3.99,547011,12344
42844155,Harry Potter and the Sorcerer's Stone,322,1997,,582499,6212,4.47,6185616,98411
44451908,Flowers in the Attic,389,1979,,23369,313,3.81,142987,7306
46020761,Little Women,449,2004,1869,312681,3606,4.06,1492118,20731
46025094,The Lightning Thief,377,2006,2005,534977,5722,4.24,1763812,54571
47440429,The Perks of Being a Wallflower,213,1999,,713356,7512,4.2,1137304,53533
