id,naslov,dolzina,leto,leto_original,score,glasovi,avgrating,ratings,reviews
73716,Like Water for Chocolate,224,1993,1989,27034,384,3.95,311369,8285
75303,Qurʾan / القرآن الكريم,604,650,600,31495,356,4.34,53697,2889
75786,Infinite Jest,1088,2005,1996,23821,260,4.29,68196,8169
76817,A Little Princess,242,2002,1890,64556,821,4.2,255914,6342
76847,Girl with a Pearl Earring,233,2005,2000,56878,740,3.87,580432,9094
77233,Dubliners,207,2001,1914,20761,295,3.85,113273,5187
77247,Schindler's List,429,1994,1982,65386,862,4.35,130421,2036
77470,The Shipping News,337,2002,1993,23513,325,3.86,124274,4691
77531,Franny and Zooey,201,2001,1961,35041,447,3.98,176916,6000
84962,Death of a Salesman,117,1994,1949,24900,388,3.51,168045,4363
84979,Pride and Prejudice,279,2000,1813,1861868,19217,4.25,2661615,58740
85266,The Da Vinci Code,489,2006,2003,850211,8959,3.83,1757322,44910
85424,The Green Mile,592,1996,1996,49374,638,4.44,228389,6597
92141,Wicked: The Life and Times of the Wicked Witch of the West,406,2000,1995,68489,828,3.53,553941,23954
106192,The House of the Spirits,448,2005,1982,47790,604,4.22,168241,7072
109059,Matilda,240,1998,1988,315203,3522,4.31,543512,14492
111620,Brideshead Revisited,351,1982,1945,17504,238,4.0,88099,4212
117837,Heart of Darkness,188,2003,1899,85274,1054,3.42,375556,12511
120451,Candide,129,1991,1759,41946,555,3.76,203412,6944
120482,A Room with a View,119,2005,1908,18829,282,3.91,142154,5011
132314,The Complete Stories and Poems,821,1984,1849,207242,2408,4.38,199637,2118
168646,Slaughterhouse-Five,275,1999,1969,431459,4674,4.07,1041616,24478
168661,The Prince,140,2003,1513,23559,334,3.81,230459,7287
169205,Midnight Sun,264,2008,,48615,570,4.02,142729,9332
170436,Their Eyes Were Watching God,219,2006,1937,94378,1090,3.9,236824,11797
170448,Animal Farm,122,2003,1945,1201266,12484,3.92,2429641,48200
170453,Life of Pi,460,2006,2001,477749,5167,3.9,1223531,45748
